"Quart de finale 1","A 15 h à Mauléon - Retour le 26",Mauléon,,,"L'Isle Jourdain",,
"Quart de finale 2","A 15 h à Servette Genève - Retour le 26","Servette Genève",,,Issoire,,
"Quart de finale 3","A 15 h à St-Sulpice / Lèze - Retour le 26","St-Sulpice / Lèze",,,Nantes,,
"Quart de finale 4","A 15 h à Chartres - Retour le 26",Chartres,,,Orléans,,
"Demi-finale 1","A 15 h",,,,
"Demi-finale 2","A 15 h",,,,
Finale,"A 15 h",,,,
