"Quart de finale 1","A Bordeaux, samedi 13 avril",Bordeaux-Bègles,41,10,Harlequins,42,20
"Quart de finale 2","A Dublin, samedi 13 avril",Leinster,40,20,"La Rochelle",13,50
"Quart de finale 3","A Northampton, samedi 13 avril",Northampton,59,1,Bulls,22,60
"Quart de finale 4","A Toulouse, dimanche 14 avril",Toulouse,64,80,Exeter,26,70
"Demi-finale 1","A Toulouse, dimanche 5 mai",Toulouse,,Harlequins,
"Demi-finale 2","A Dublin, samedi 4 mai","La Rochelle",,Bulls,
Finale,"A Londres, samedi 25 mai - 15h45",,,,
